epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.5113678267405591	0.4421266333307675	0.6429877252546357
2	0.26681005456104556	0.42686074243802474	0.6641420736484722
3	0.1817541073635391	0.458881856137674	0.6649255680334291
4	0.12619865804925634	0.5236193668841749	0.6620527552885871
5	0.0885707211943876	0.562630328697828	0.665709062418386
6	0.05995030591041954	0.6614413365782131	0.6693653695481849
7	0.04043638868340379	0.77250587232459	0.668581875163228
8	0.02861448928123969	0.8750461443987679	0.6727605118829981
9	0.01878530769667371	1.0015285995616245	0.6722381822930269
10	0.014071450605718048	1.0394622433492102	0.6745886654478976
