epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.28480362529434516	0.16074773650757535	0.8498302428832594
2	0.10565418689180217	0.12538682250563693	0.8754243927918517
3	0.07084415836733755	0.13245985338700098	0.8819535126664926
4	0.05098103275521907	0.11936911040196334	0.8939670932358318
5	0.04031018507864683	0.13592757318077583	0.8960564115957169
6	0.029045204623611574	0.13764336297484955	0.8976234003656307
7	0.02229834416416202	0.1611838478713626	0.9023243666753722
8	0.016391124024878082	0.17723221782148638	0.9028466962653434
9	0.011771572499163507	0.20681433510067232	0.9051971794202142
10	0.009004523532292521	0.21283186436362914	0.9054583442151998
