epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.3014110382663481	0.16711238081289773	0.83781666231392
2	0.11054921403977715	0.13661996430924084	0.8675894489422826
3	0.07229153694721303	0.13151544989541988	0.881692347871507
4	0.052526465638731666	0.15403994501273383	0.8827370070514494
5	0.03926648800475967	0.1422503205114753	0.8950117524157744
6	0.02974987400244166	0.15602968753671764	0.8913554452859754
7	0.023574307726353487	0.16515165214338842	0.9002350483154871
8	0.018164888269943908	0.1981249479753731	0.901018542700444
9	0.013660459202741287	0.2167450635746947	0.903107861060329
10	0.009560633234916818	0.242473076233324	0.9007573779054583
