epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.2833590453783198	0.14490780599292874	0.8532253852180726
2	0.10505604071884654	0.15264500567494263	0.8647166361974405
3	0.07105344303778578	0.13481592297705433	0.8827370070514494
4	0.05315917645954408	0.11395916304827948	0.8950117524157744
5	0.0378452775937143	0.1434483292597048	0.8947505876207887
6	0.029782152941358518	0.1380053708587638	0.8960564115957169
7	0.02274963625923829	0.15209795202436	0.9028466962653434
8	0.0178751644679853	0.1784275928312324	0.9012797074954296
9	0.01272872265072799	0.20300554828922723	0.903107861060329
10	0.009837274014063903	0.21048669441519757	0.9036301906503004
