epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.2834324380447624	0.15551248431959716	0.8440846173935753
2	0.10392820356120955	0.14157914976426805	0.8699399320971533
3	0.07095798238124609	0.13620884295244645	0.8803865238965788
4	0.05205411652860512	0.11954272914106003	0.891616610080961
5	0.039986944765780214	0.12723386533700828	0.8973622355706451
6	0.029471664015431037	0.1259561422608044	0.9036301906503004
7	0.022309283384720373	0.1671893053999995	0.903891355445286
8	0.017291957561622797	0.1797880316885736	0.9041525202402716
9	0.011892873107146366	0.20700006874723223	0.9072864977800993
10	0.00859301972198801	0.213069066976801	0.9072864977800993
