epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.2852856478491879	0.1411407480298436	0.849307913293288
2	0.10380843995844233	0.12877808053670095	0.8751632279968661
3	0.06942646379645336	0.13449500656314614	0.8840428310263776
4	0.049702666660240064	0.1289859579902666	0.8913554452859754
5	0.03699387470172666	0.13121922176130932	0.9023243666753722
6	0.02874964137923698	0.1323364716010343	0.8984068947505877
7	0.021458682755096464	0.16211642504961765	0.9033690258553148
8	0.016834535091503785	0.18282867340426673	0.9070253329851136
9	0.012242873763747865	0.2103048588736964	0.9096369809349699
10	0.008819414361164828	0.22298747963629004	0.9085923217550275
